Name,Category,Address,Facebook,Twitter,Instagram,YouTube,LinkedIn,TripAdvisor,Yelp,Pinterest,Houzz,ReverbNation,Website,Phone,Email,Contact,Owner,Dining,Hot Drinks,Hard Drinks,Shopping,Party,Lodging,Activities,Photo
Taber Building,?,,,,,,,,,,,,,,,,,,,,,,,,
Gallery Art Market,Arts,,,,,,,,,,,,,,,,,,,,,,,,
MosaicaRose,Arts,305 East,https://www.facebook.com/MosaicaRose/,,,,,,,,,,http://mosaicarose.com,,mosaica2@sbcglobal.net,Christine Schilling,,,,,,,1,,
Drury on C-Street,Arts,223 East,https://www.facebook.com/DruryCStreet/,,https://www.instagram.com/galleryoncstreet/,,,,,,,,,(417) 864-0254,artsadmin@drury.edu,,,,,,,,,1,
Ruthie's on C-Street,Bar,504 East,https://www.facebook.com/504ECommercialStreet/,,https://www.instagram.com/qenoteca/,,,,,,,,,(417) 864-8144,outlawstarjoe@yahoo.com,Joseph Pepe,,,,1,,,,,
Q Enoteca,Bar,308 West,https://www.facebook.com/qenoteca/,,,,,,,,,,http://qenoteca.com,,,,,,,1,,1,,,
The Summit Lounge,Bar,,,,,,,,,,,,,,,,"Café Cusco, LLC",1,,1,,1,,,
Moon City Pub,Bar,420 West,https://www.facebook.com/MoonCityPub/,,,,,,,,,,,(417) 315-8146,mooncitypub@hotmail.com,,,1,,1,,,,,
White River Brewing,Bar,505 West,https://www.facebook.com/whiteriverbrewing/,,,,,,,,,,,(417) 869-1366,,,,,,1,,1,,,
Eurasia Coffee & Tea,Coffeeshop,445 East,https://www.facebook.com/eurasiacoffeeandtea/,,,,,,,,,,http://eurasiacoffeeandtea.com,(417) 869-1366,info@eurasiacafe.org,,,1,1,,,,,,
Big Momma's Coffee,Coffeeshop,217 East,https://www.facebook.com/BigMommasCoffee/,,,,,,,,,,https://www.bigmommascoffee.com,(417) 865-9911,momma@bigmommascoffee.com,"Lyle Foster, Justin Foster, Joe Terry, Christiano Belotti",,1,1,,,1,,,
Ms. Gilmore's Tea Room,Coffeeshop,211 East,https://www.facebook.com/msgilmorestearoom/,,https://www.instagram.com/explore/locations/727356294086388/ms-gilmores-vintage-suitcase-tea-room/,,,,,https://www.pinterest.com/rgilmore/,,,https://msgilmores.com/,(417) 866-7000,robingilmore60@gmail.com,Robin Gilmore,,1,1,,1,1,,,
Historic Firehouse No. 2,Events,101 East,https://www.facebook.com/HistoricFirehouse/,,,,,,,,,,https://historicfirehouse.com,(417) 864-7015,historicfirehouse@gmail.com,"Mary Collette, Paul Parker",,,,,,1,,1,
Savoy Ballroom,Events,224 East,https://www.facebook.com/SavoyBallroom/,,,,,,,,,,https://cstreetsavoy.com,,events@cstreetsavoy.com,"Andy Walls, Anne Walls",,,,,,1,,,
The Carrie Aleene Tea Room,Events,,,,,,,,,,,,,,,,Artisan's Oven,,,,,1,,,Change
Springfield Contemporary Theatre,Events,,,,,,,,,,,,,,,,,,,,,1,,,
C-Street Center & Events,Events,,,,,,,,,,,,,,,,,,,,,1,,,
Brick + Tin,Events,219 West,https://www.facebook.com/brickandtin/,,https://www.instagram.com/brickandtinco/,,,,,,,,https://www.brickandtin.co/,,brickandtin@gmail.com,"Madison Ree (events), Carolyn (lofts)",,,,,,,1,,
Fireside Gallery,Events,445 East,,,,,,,,,,,,,,,Eurasia Coffee & Tea,,,,,,,,
BNSF Services,Industrial,,,,,,,,,,,,,,,,,,,,,,,,
Midwest Sheet Metal,Industrial,423 East,,,,,,,,,,,,,,,,,,,,,,,
Paul Hall Signs,Industrial,,,,,,,,,,,,,,,,,,,,,,,,
Culture Boutique Hotel,Lodging,445 East,https://www.facebook.com/culturecstreet/,,,,,,,,,,http://www.culturecstreet.com,(417) 720-1949,reservations@eurasiacoffeeandtea.com,,Eurasia Coffee & Tea,,,,,,1,,
GLO Center,Non-Profit,518 East,https://www.facebook.com/theglocenter/,,,,,,,,,,https://www.glocenter.org,(417) 869-3978,,,,,,,,,,,
Pedalers Bicycle Museum,Non-Profit,,,,,,,,,,,,,,,,,,,,,,,1,
Hatch Building,Non-Profit,,,,,,,,,,,,,,,,,,,,,,,,
Gate of the Temple,Non-Profit,,,,,,,,,,,,,,,,,,,,,,,,
Ozarks Model Railroad Association,Non-Profit,,,,,,,,,,,,,,,,,,,,,,,1,
"Café Cusco, LLC",Office,,,,,,,,,,,,,,,"Joe Gidman, Claire Gidman, Amy Truitt",,,,,,,,,
Crystal's Cuts,Personal Services,332 East,https://www.facebook.com/crystalscuts/,,,,,,,,,,,(417) 413-0201,crystalscuts@yahoo.com,,,,,,,,,,
Ink Ink,Personal Services,302 East,https://www.facebook.com/inkinktattoo/,https://twitter.com/InkInktat,https://www.instagram.com/inkinktat/,,,,,https://www.pinterest.com/Inkinktat/,,,https://inkinktat.com,(417) 719-4452,inkinktat@gmail.com or email@inkinktat.com,,,,,,,,,,
Dr. Dewar Dental,Personal Services,,,,,,,,,,,,,,,,,,,,,,,,
Blu Styles,Personal Services,223 East,https://www.facebook.com/blustylesbarbershop/,,https://www.instagram.com/blustylesbarbershop,,,,,,,,https://www.blustylesbarbershop.com,(417) 227-0001,,,,,,,,,,,
Della's Beauty Plus,Personal Services,221 East,https://www.facebook.com/dellasbeautypls/,,,,,,,,,,,(417) 720-1194,dellasbeautyplus@yahoo.com,,,,,,1,,,,
Dance with Me,Personal Services,,https://www.facebook.com/dancewithme.us/,https://twitter.com/anne_and_andy,https://www.instagram.com/cstreetsavoy/?hl=en,,,,,https://www.pinterest.com/savoyballroom/boards/,,,https://www.dancewithme.us,(417) 869-6789,dance@dancewithme.us,"Anne Walls, Andy Walls",Savoy Ballroom,,,,,,,1,
Sangha Yoga,Personal Services,215 West,https://www.facebook.com/sanghaspringfield/,,http://instagram.com/sanghastudio417,,,,,,,,https://sanghaspringfield.com,(417) 300-4490,sanghaspringfield@gmail.com,,,,,,1,,,1,
Queen City Beauty Spa,Personal Services,400 West,https://www.facebook.com/queencitybeautyspa/,,https://www.instagram.com/queencitybeautyspa/,,,,,,,,https://www.vagaro.com/queencitybeautyspa,(417) 719-1999,queencitybeautyspa@gmail.com,,,,,,,,,,
Moth Studio Tattoo,Personal Services,428 West,https://www.facebook.com/Mothstudiotattoo/,,,,,,,,,,,(417) 862-0800,,,,,,,,,,,
Lewis Boxing Gym,Personal Services,434 West,https://www.facebook.com/Lewis-Boxing-Gym-360703240617616/,,,,,,,,,,,(417) 631-9356,,,,,,,,,,,
Jon Van Arkel Law,Professional Services,,https://www.facebook.com/Jon-Van-Arkel-Attorney-119865288078263/,,,,,,,,,,,(417) 866-4834,jonvanarkel@outlook.com,,,,,,,,,,
Commercial Club,Professional Services,,,,,,,,,,,,,,,,,,,,,,,,
Groce & DeArmon Law,Professional Services,1705 North Jefferson Avenue,https://www.facebook.com/mobankruptcylaw/,,,,,,,,,,https://www.mobankruptcylaw.com,(417) 862-3706,,,,,,,,,,,
Wellspring School of Applied Health,Professional Services,229 East,https://www.facebook.com/wellspringschoolspringfield/,,,,,,,,,,https://wellspring.edu,(417) 863-7682,,,,,,,,,,,
Bridge Upholstery,Professional Services,202 East,https://www.facebook.com/Bridge-Upholstery-and-Drapery-172470956469700/,https://twitter.com/Bridge_Workroom,https://www.instagram.com/bridgeupholstery/,,,,,https://www.pinterest.com/bridgeuphol0342/,http://www.houzz.com/pro/bridgeworkroom/bridge-upholstery-and-drapery,,http://bridgeupholsteryanddrapery.com,(417) 429-1243,BridgeUpholsteryAndDrapery@gmail.com,Robbyn Bybee,,,,,,,,,
H&R Block,Professional Services,312 West,,,,,,,,,,,,,,,,,,,,,,,
C-Space,Professional Services,,https://www.facebook.com/cspaceoncstreet/,,,,,,,,,,https://cspaceoncstreet.com,(417) 830-8121,connie@tamepetmag.com,Connie Rhoades,,,,,,,,,
Vecino Group,Professional Services,305 West,https://www.facebook.com/Vecinogroup/,,https://www.instagram.com/thevecinogroup/,,,,,,,,https://vecinogroup.com,(417) 720-1577,sally@vecinogroup.com,Sally Terry,,,,,,,,,
Prixel Creative,Professional Services,311 West,https://www.facebook.com/PrixelCreative/,,http://instagram.com/prixelcreative,,,,,,,,https://www.prixelcreative.com,(417) 501-1414,justin@prixelcreative.com,Justin Skinner,,,,,,,1,,
Departika,Professional Services,210 West,https://www.facebook.com/departika/,https://twitter.com/departika,,,https://www.linkedin.com/company/429929,,,http://www.pinterest.com/departika/,,,http://www.departika.com,(417) 868-8378,contact@departika.com,,,,,,,,1,,
Askinosie & Bilyeu,Professional Services,,https://www.facebook.com/pages/Askinosie-And-Bilyeu-Llc/191826234202786,,,,,,,,,,,(417) 866-4094,bilyeulaw@live.com,,,,,,,,,,
nForm Architecture,Professional Services,312 West,https://www.facebook.com/nformarchitecture/,,,,https://www.linkedin.com/company/nform-architecture/about/,,,,,,https://nformarc.com,(417) 873-2255,info@nformarc.com,,,,,,,,,,
Faith Stocker,Professional Services,314 West,,,,,,,,,,,,(417) 862-2955,,,,,,,,,,,
Triad Graphics,Professional Services,404 West,https://www.facebook.com/TriadGraphicsInc/,,,,,,,,,,https://triadgraphics.net,(417) 865-8150,info@triadgraphics.net,,,,,,,,,,
Imaginational,Professional Services,406 West,,,,,,,,,,,,,,,,,,,,,,,
Reed's Plumbing,Professional Services,611 West,,,,,,,,,,,,,,,,,,,,,,,
Stewart Automotive,Repair,521 East,,,,,,,,,,,,,,,,,,,,,,,
All Seasons Chem Dry,Repair,315 West,,,,,,,,,,,,,,,,,,,,,,,
Trail Labs,Repair,422 West,https://www.facebook.com/traillabs/,,https://www.instagram.com/traillabs/,,,,,,,,,(417) 324-7901,info@traillabs.com,,,,,,1,,,,
Van Gogh's Eeterie,Restaurant,334 East,https://www.facebook.com/VanGoghsEeterie/,,https://www.instagram.com/van_goghs417,,,https://www.tripadvisor.com/13803112,https://www.yelp.com/biz/atFuZ3zubni83n3t0NLWdg,,,,https://www.vangoghseeterie.com,(417) 344-0085,info@vangoghseeterie.com,"Joe Gidman, Claire Gidman, Caity Joyce","Café Cusco, LLC",1,,,,1,,,
That Lebanese Place,Restaurant,338 East,https://www.facebook.com/ThatLebanesePlace/,,,,,,,,,,,(417) 536-6677,,,,1,,,,,,,
Pizza House,Restaurant,312 East,https://www.facebook.com/SpringfieldPizzaHouse/,,,,,,,,,,http://www.springfieldpizzahouse.com,(417) 881-4073,,,,1,,,,,,,
Sisters in Thyme,Restaurant,306 East,https://www.facebook.com/Sisters-In-Thyme-Bistro-and-Bakery-113794368655437/,,,,,,,,,,,(417) 873-9224,sistersinthyme@msn.com,,,1,1,,,,,,
Elkhart & The Robberson,Restaurant,,,,,,,,,,,,,,,,,1,,1,,,,,
Café Cusco,Restaurant,234 East,https://www.facebook.com/CafeCusco/,,https://www.instagram.com/cafecusco,,,https://www.tripadvisor.com/4663961,https://www.yelp.com/biz/cafe-cusco-springfield,,,,https://www.cafecusco.com,(417) 868-8088,info@cafecusco.com,"Joe Gidman, Claire Gidman, Caity Joyce","Café Cusco, LLC",1,,1,,1,,,
The Artisan's Oven,Restaurant,206 East,https://www.facebook.com/the.artisans.oven/,,,,,,,,,,,(417) 885-5030,cccrosby@att.net,Craig Crosby,,1,,,1,,,,
Lindberg's Tavern,Restaurant,318 West,https://www.facebook.com/lindbergs/,http://twitter.com/lindbergsbar,http://instagram.com/lindbergsbar,http://www.youtube.com/user/lindbergsbar/videos,,,,,,https://www.reverbnation.com/venue/lindbergs,,(417) 868-8900,lindbergsbooking@gmail.com,,,1,,1,,1,,1,
Sonic,Restaurant,,,,,,,,,,,,,,,,,1,,,,,,,
Askinosie Chocolate,Retail,514 East,https://www.facebook.com/askinosie.chocolate/,https://twitter.com/askinosie,http://instagram.com/askinosie,http://www.youtube.com/user/askinosiechoco,,,,,,,https://askinosie.com,(417) 862-9900,info@askinosie.com,"Shawn Askinosie, Lawren Askinosie, John Taylor",,,,,1,,,,
Rathbone Ace Hardware,Retail,508 East,,,,,,,,,,,,,,,,,,,1,,,,
Springfield Mercantile Co.,Retail,326 East,https://www.facebook.com/springfieldmercantile/,,https://www.instagram.com/springfieldmercantile/,,,,,,,,http://www.springfieldmercantile.com,(417) 831-8131,hello@springfieldmercantile.com,,,,,,1,,,,
Footbridge Trading Co.,Retail,320 East,https://www.facebook.com/footbridgetrading/,,,,,,,,,,,(417) 830-0220,footbridgetrading@gmail.com,"Irene Schaefer, Karen Schaefer",,,,,1,,1,,
